,Monotonicity Nguyen,Local Lipschitz Estimate,Faithfulness Estimate,Faithfulness Correlation,Avg-Sensitivity,Random Logit,Max-Sensitivity,Sparseness,EffectiveComplexity,Monotonicity Arya,Complexity,Pixel-Flipping,Selectivity,Model Parameter Randomisation
integratedgrad,0.598,0.16654545454545455,0.614909090909091,0.5706818181818182,0.22354545454545455,0.2511818181818182,0.22359090909090906,0.20531818181818184,0.30777272727272725,0.6145681818181818,0.20431818181818182,0.4355909090909091,0.36913636363636365,0.8303181818181818
smoothgrad,0.4467272727272727,0.3341363636363636,0.4674545454545455,0.5323636363636364,0.09090909090909091,0.1987727272727273,0.09090909090909091,0.647,0.7602727272727272,0.5884090909090909,0.6597727272727273,0.5698636363636363,0.47527272727272724,0.18254545454545454
guidedbackprop,0.6125909090909091,0.13645454545454544,0.7175454545454545,0.5920909090909091,0.23268181818181818,0.20622727272727273,0.23268181818181818,0.1020909090909091,0.1963181818181818,0.6517727272727273,0.10090909090909092,0.27186363636363636,0.4613181818181818,0.8752727272727273
rise,0.5595,0.8577727272727272,0.4575454545454546,0.5093181818181818,0.9448636363636363,0.6560909090909091,0.9449545454545455,0.9494545454545456,0.7477954545454545,0.525340909090909,0.9447272727272726,0.5636363636363636,0.5053636363636363,0.5310909090909091
gradcam,0.4081363636363636,0.5685909090909091,0.42618181818181816,0.511909090909091,0.48245454545454547,0.5418636363636363,0.48254545454545456,0.42900000000000005,0.32220454545454547,0.527090909090909,0.4256818181818182,0.6705,0.6832727272727273,0.4881818181818182
scorecam,0.425,0.6350454545454546,0.45904545454545453,0.5179545454545454,0.5338181818181819,0.6318181818181818,0.5337727272727273,0.5630909090909091,0.5347045454545455,0.5367500000000001,0.5588181818181819,0.6942727272727273,0.6741818181818182,0.47881818181818186
layercam,0.3909090909090909,0.8455454545454546,0.45518181818181813,0.5332727272727272,0.7156363636363636,0.7958181818181818,0.7158636363636364,0.7797272727272727,0.7602727272727272,0.5602272727272727,0.7775454545454547,0.6609090909090909,0.6701363636363636,0.512909090909091
random,0.7595454545454546,0.7456818181818182,0.9270454545454545,0.6081818181818183,0.6540454545454545,0.997409090909091,0.6537272727272727,0.6172272727272727,0.6384318181818182,0.5942954545454545,0.6054090909090909,0.40586363636363637,0.3476818181818182,0.8430454545454545
sobel,0.7501818181818183,0.28477272727272723,0.5540909090909091,0.5735,0.9361818181818182,0.3262272727272727,0.9361363636363635,0.29563636363636364,0.5438409090909091,0.5235,0.29709090909090907,0.4758181818181818,0.5180454545454546,0.5176818181818181
gaussian,0.5551363636363637,0.9676363636363636,0.4495454545454546,0.5389545454545455,0.8193181818181817,0.8991363636363636,0.8193181818181817,0.9317272727272727,0.7602727272727272,0.3095,0.9370909090909091,0.6252727272727273,0.6508181818181819,0.1405
polycam,0.4942727272727273,0.4578181818181818,0.47145454545454546,0.5117727272727273,0.36654545454545456,0.4954545454545455,0.36650000000000005,0.4797272727272727,0.42811363636363636,0.5685454545454545,0.48863636363636365,0.6264090909090909,0.6447727272727273,0.5996363636363636
