,Monotonicity Nguyen,Local Lipschitz Estimate,Faithfulness Estimate,Faithfulness Correlation,Avg-Sensitivity,Random Logit,Max-Sensitivity,Sparseness,EffectiveComplexity,Monotonicity Arya,Complexity,Pixel-Flipping,Selectivity,Model Parameter Randomisation
integratedgrad,0.4084090909090909,0.16654545454545455,0.2945,0.47368181818181815,0.22354545454545455,0.2511818181818182,0.22359090909090906,0.20531818181818184,0.30777272727272725,0.6174090909090909,0.20431818181818182,0.17481818181818182,0.43263636363636365,0.8303181818181818
smoothgrad,0.43963636363636366,0.3341363636363636,0.4821363636363636,0.5397272727272727,0.09090909090909091,0.1987727272727273,0.09090909090909091,0.647,0.7602727272727272,0.5872954545454546,0.6597727272727273,0.5626363636363636,0.4873181818181818,0.18254545454545454
guidedbackprop,0.620909090909091,0.13645454545454544,0.7356363636363636,0.5752727272727273,0.23268181818181818,0.20622727272727273,0.23268181818181818,0.1020909090909091,0.1963181818181818,0.633159090909091,0.10090909090909092,0.6749090909090909,0.4935909090909091,0.8752727272727273
rise,0.6141818181818182,0.8577727272727272,0.505909090909091,0.5409545454545455,0.9448636363636363,0.6560909090909091,0.9449545454545455,0.9494545454545456,0.7477954545454545,0.5049318181818182,0.9447272727272726,0.5283181818181818,0.5130909090909092,0.5310909090909091
gradcam,0.4303181818181818,0.5685909090909091,0.48577272727272724,0.5324545454545455,0.48245454545454547,0.5418636363636363,0.48254545454545456,0.42900000000000005,0.32220454545454547,0.5672954545454545,0.4256818181818182,0.5181363636363636,0.6391818181818182,0.4881818181818182
scorecam,0.43927272727272726,0.6350454545454546,0.502090909090909,0.5462727272727274,0.5338181818181819,0.6318181818181818,0.5337727272727273,0.5630909090909091,0.5347045454545455,0.5677500000000001,0.5588181818181819,0.5397272727272727,0.6366818181818181,0.47881818181818186
layercam,0.39149999999999996,0.8455454545454546,0.5143181818181818,0.5522272727272727,0.7156363636363636,0.7958181818181818,0.7158636363636364,0.7797272727272727,0.7602727272727272,0.5549772727272727,0.7775454545454547,0.5478636363636364,0.632,0.512909090909091
random,0.7320454545454546,0.7456818181818182,0.9218636363636363,0.5891818181818181,0.6540454545454545,0.997409090909091,0.6537272727272727,0.6172272727272727,0.6384318181818182,0.5684545454545454,0.6054090909090909,0.7037727272727273,0.40404545454545454,0.8430454545454545
sobel,0.8585,0.28477272727272723,0.567409090909091,0.5727272727272728,0.9361818181818182,0.3262272727272727,0.9361363636363635,0.29563636363636364,0.5438409090909091,0.4534090909090909,0.29709090909090907,0.6860454545454545,0.5583636363636364,0.5176818181818181
gaussian,0.5554545454545455,0.9676363636363636,0.49118181818181816,0.5433181818181818,0.8193181818181817,0.8991363636363636,0.8193181818181817,0.9317272727272727,0.7602727272727272,0.38915909090909095,0.9370909090909091,0.5299090909090909,0.5769090909090909,0.1405
polycam,0.5097727272727273,0.4578181818181818,0.49918181818181817,0.5341818181818182,0.36654545454545456,0.4954545454545455,0.36650000000000005,0.4797272727272727,0.42811363636363636,0.5561590909090909,0.48863636363636365,0.5338636363636363,0.6261818181818182,0.5996363636363636
