,Monotonicity Nguyen,Local Lipschitz Estimate,Faithfulness Estimate,Faithfulness Correlation,Avg-Sensitivity,Random Logit,Max-Sensitivity,Sparseness,EffectiveComplexity,Monotonicity Arya,Complexity,Pixel-Flipping,Selectivity,Model Parameter Randomisation
integratedgrad,0.5059545454545454,0.16654545454545455,0.5175909090909091,0.5462272727272727,0.22354545454545455,0.2511818181818182,0.22359090909090906,0.20531818181818184,0.30777272727272725,0.6143636363636363,0.20431818181818182,0.3640909090909091,0.41318181818181815,0.8303181818181818
smoothgrad,0.41913636363636364,0.3341363636363636,0.45772727272727276,0.5536818181818182,0.09090909090909091,0.1987727272727273,0.09090909090909091,0.647,0.7602727272727272,0.5930227272727273,0.6597727272727273,0.5407272727272727,0.4762272727272727,0.18254545454545454
guidedbackprop,0.6495909090909091,0.13645454545454544,0.7949090909090909,0.5653181818181818,0.23268181818181818,0.20622727272727273,0.23268181818181818,0.1020909090909091,0.1963181818181818,0.6485227272727273,0.10090909090909092,0.6472272727272728,0.4848181818181818,0.8752727272727273
rise,0.6017272727272727,0.8577727272727272,0.47431818181818186,0.5339545454545455,0.9448636363636363,0.6560909090909091,0.9449545454545455,0.9494545454545456,0.7477954545454545,0.49972727272727274,0.9447272727272726,0.4938181818181819,0.51,0.5310909090909091
gradcam,0.3846818181818181,0.5685909090909091,0.43763636363636366,0.5272727272727272,0.48245454545454547,0.5418636363636363,0.48254545454545456,0.42900000000000005,0.32220454545454547,0.5395909090909091,0.4256818181818182,0.4866363636363636,0.6515,0.4881818181818182
scorecam,0.39909090909090905,0.6350454545454546,0.45522727272727276,0.5319545454545455,0.5338181818181819,0.6318181818181818,0.5337727272727273,0.5630909090909091,0.5347045454545455,0.5643636363636364,0.5588181818181819,0.5191363636363636,0.643090909090909,0.47881818181818186
layercam,0.35450000000000004,0.8455454545454546,0.4534545454545455,0.5427272727272727,0.7156363636363636,0.7958181818181818,0.7158636363636364,0.7797272727272727,0.7602727272727272,0.5562272727272727,0.7775454545454547,0.5099090909090909,0.6455000000000001,0.512909090909091
random,0.7652272727272728,0.7456818181818182,0.8894545454545455,0.5709545454545455,0.6540454545454545,0.997409090909091,0.6537272727272727,0.6172272727272727,0.6384318181818182,0.5737727272727272,0.6054090909090909,0.7395454545454545,0.39390909090909093,0.8430454545454545
sobel,0.8606363636363636,0.28477272727272723,0.5735,0.5533636363636364,0.9361818181818182,0.3262272727272727,0.9361363636363635,0.29563636363636364,0.5438409090909091,0.4862272727272727,0.29709090909090907,0.6315000000000001,0.5490454545454546,0.5176818181818181
gaussian,0.5696363636363636,0.9676363636363636,0.47059090909090906,0.5496363636363637,0.8193181818181817,0.8991363636363636,0.8193181818181817,0.9317272727272727,0.7602727272727272,0.3695,0.9370909090909091,0.5292272727272728,0.600909090909091,0.1405
polycam,0.4898181818181818,0.4578181818181818,0.47559090909090906,0.5249090909090909,0.36654545454545456,0.4954545454545455,0.36650000000000005,0.4797272727272727,0.42811363636363636,0.5546818181818182,0.48863636363636365,0.5381818181818182,0.6318181818181818,0.5996363636363636
