,Monotonicity Nguyen,Local Lipschitz Estimate,Faithfulness Estimate,Faithfulness Correlation,Avg-Sensitivity,Random Logit,Max-Sensitivity,Sparseness,EffectiveComplexity,Monotonicity Arya,Complexity,Pixel-Flipping,Selectivity,Model Parameter Randomisation
integratedgrad,0.5653636363636364,0.16654545454545455,0.7354090909090908,0.5866363636363636,0.22354545454545455,0.2511818181818182,0.22359090909090906,0.20531818181818184,0.30777272727272725,0.6263863636363637,0.20431818181818182,0.34504545454545454,0.38286363636363635,0.8303181818181818
smoothgrad,0.43454545454545457,0.3341363636363636,0.43204545454545457,0.5182272727272728,0.09090909090909091,0.1987727272727273,0.09090909090909091,0.647,0.7602727272727272,0.5893636363636363,0.6597727272727273,0.49104545454545456,0.4773181818181818,0.18254545454545454
guidedbackprop,0.5901363636363637,0.13645454545454544,0.721,0.5999545454545454,0.23268181818181818,0.20622727272727273,0.23268181818181818,0.1020909090909091,0.1963181818181818,0.68375,0.10090909090909092,0.40131818181818185,0.47209090909090906,0.8752727272727273
rise,0.588,0.8577727272727272,0.4849090909090909,0.5160454545454546,0.9448636363636363,0.6560909090909091,0.9449545454545455,0.9494545454545456,0.7477954545454545,0.47675,0.9447272727272726,0.5666818181818182,0.5125454545454545,0.5310909090909091
gradcam,0.41440909090909095,0.5685909090909091,0.4138636363636364,0.5035909090909091,0.48245454545454547,0.5418636363636363,0.48254545454545456,0.42900000000000005,0.32220454545454547,0.5408181818181818,0.4256818181818182,0.6552727272727273,0.6735,0.4881818181818182
scorecam,0.4298636363636364,0.6350454545454546,0.44681818181818184,0.5236818181818182,0.5338181818181819,0.6318181818181818,0.5337727272727273,0.5630909090909091,0.5347045454545455,0.5393409090909091,0.5588181818181819,0.6675,0.656,0.47881818181818186
layercam,0.3936363636363636,0.8455454545454546,0.4254090909090909,0.5203181818181818,0.7156363636363636,0.7958181818181818,0.7158636363636364,0.7797272727272727,0.7602727272727272,0.552409090909091,0.7775454545454547,0.6323636363636363,0.666590909090909,0.512909090909091
random,0.7525,0.7456818181818182,0.9198181818181819,0.6058181818181818,0.6540454545454545,0.997409090909091,0.6537272727272727,0.6172272727272727,0.6384318181818182,0.6170227272727273,0.6054090909090909,0.4891818181818182,0.35663636363636364,0.8430454545454545
sobel,0.7648636363636364,0.28477272727272723,0.5259545454545455,0.5806818181818182,0.9361818181818182,0.3262272727272727,0.9361363636363635,0.29563636363636364,0.5438409090909091,0.4959545454545454,0.29709090909090907,0.5221363636363636,0.5360454545454545,0.5176818181818181
gaussian,0.5728636363636364,0.9676363636363636,0.4358636363636364,0.5375454545454545,0.8193181818181817,0.8991363636363636,0.8193181818181817,0.9317272727272727,0.7602727272727272,0.31531818181818183,0.9370909090909091,0.6335909090909091,0.628,0.1405
polycam,0.4938181818181819,0.4578181818181818,0.45890909090909093,0.5075,0.36654545454545456,0.4954545454545455,0.36650000000000005,0.4797272727272727,0.42811363636363636,0.5628863636363636,0.48863636363636365,0.5958636363636364,0.6384090909090909,0.5996363636363636
